# E(GeV)    P2          V2          E2          Pmumu          Pmue          Pmutau
0.100000   0.180116   0.387230   0.432654   0.737455   0.207929   0.054615
0.105000   -0.251721   0.303362   0.948359   0.186441   0.341817   0.471742
0.110000   -0.295435   0.363920   0.931515   0.239156   0.327295   0.433549
0.115000   0.357375   0.310938   0.331687   0.807459   0.160152   0.032390
0.120000   -0.305470   0.419226   0.886244   0.299035   0.272486   0.428480
0.125000   0.037188   0.060551   0.902261   0.031252   0.328840   0.639907
0.130000   -0.153102   0.487976   0.665126   0.577536   0.193021   0.229443
0.135000   0.459498   0.262601   0.277901   0.844528   0.124831   0.030641
0.140000   -0.280591   0.490150   0.790441   0.429823   0.206330   0.363846
0.145000   0.129516   0.043409   0.827075   0.022197   0.281276   0.696526
0.150000   -0.100203   0.252855   0.847348   0.148471   0.245065   0.606463
0.155000   -0.106765   0.479190   0.627575   0.602006   0.148963   0.249031
0.160000   0.595425   0.198601   0.205975   0.888200   0.091696   0.020103
0.165000   0.255582   0.347211   0.397207   0.776395   0.110836   0.112768
0.170000   -0.255777   0.484084   0.771693   0.410792   0.172583   0.416625
0.175000   0.068726   0.159514   0.771760   0.087395   0.221461   0.691144
0.180000   0.275590   0.017373   0.707037   0.008763   0.225024   0.766213
0.185000   -0.078515   0.306933   0.771581   0.189302   0.185927   0.624771
0.190000   -0.189735   0.499980   0.689755   0.503149   0.128962   0.367890
0.195000   0.288180   0.334571   0.377248   0.787601   0.081520   0.130879
0.200000   0.726237   0.135351   0.138413   0.926995   0.060314   0.012691
0.205000   0.586038   0.200820   0.213143   0.886769   0.067776   0.045455
0.210000   0.089366   0.416974   0.493660   0.703747   0.095495   0.200758
0.215000   -0.208306   0.495760   0.712547   0.453955   0.130388   0.415657
0.220000   -0.080787   0.341223   0.739564   0.218240   0.160225   0.621535
0.225000   0.240587   0.108887   0.650526   0.057782   0.176943   0.765275
0.230000   0.405614   0.006149   0.588237   0.003084   0.177618   0.819298
0.235000   0.281989   0.102972   0.615039   0.054451   0.163746   0.781804
0.240000   0.010712   0.307266   0.682022   0.189569   0.139677   0.670753
0.245000   -0.164905   0.468134   0.696771   0.373774   0.110923   0.515302
0.250000   -0.095584   0.490273   0.605311   0.569739   0.082762   0.347499
0.255000   0.193161   0.380173   0.426666   0.744772   0.059334   0.195894
0.260000   0.548779   0.218551   0.232669   0.875132   0.043238   0.081630
0.265000   0.798973   0.099313   0.101713   0.947597   0.035504   0.016899
0.270000   0.841761   0.078745   0.079494   0.958942   0.035835   0.005224
0.275000   0.678564   0.157029   0.164407   0.914108   0.042971   0.042921
0.280000   0.392603   0.290352   0.317045   0.823766   0.055083   0.121152
0.285000   0.098929   0.418549   0.482522   0.701806   0.070126   0.228068
0.290000   -0.104895   0.492032   0.612863   0.563121   0.086122   0.350758
0.295000   -0.168869   0.487787   0.681082   0.421856   0.101351   0.476793
0.300000   -0.096524   0.411970   0.684554   0.290203   0.114467   0.595330
0.305000   0.067934   0.292238   0.639829   0.177694   0.124536   0.697770
0.310000   0.261565   0.165323   0.573113   0.090929   0.131031   0.778039
0.315000   0.424433   0.065008   0.510559   0.033635   0.133786   0.832578
0.320000   0.515044   0.013802   0.471154   0.006949   0.132933   0.860118
0.325000   0.517161   0.019494   0.463345   0.009844   0.128828   0.861329
0.330000   0.438745   0.076090   0.485165   0.039614   0.121980   0.838406
0.335000   0.305509   0.167676   0.526814   0.092370   0.112987   0.794642
0.340000   0.152051   0.273528   0.574421   0.163494   0.102481   0.734025
0.345000   0.013164   0.373035   0.613801   0.248042   0.091078   0.660880
0.350000   -0.082935   0.449485   0.633450   0.341073   0.079354   0.579573
0.355000   -0.118657   0.492289   0.626368   0.437906   0.067816   0.494279
0.360000   -0.088323   0.497647   0.590676   0.534301   0.056891   0.408808
0.365000   0.002821   0.467952   0.529228   0.626586   0.046920   0.326494
0.370000   0.141123   0.410350   0.448527   0.711719   0.038158   0.250123
0.375000   0.307788   0.334908   0.357304   0.787309   0.030780   0.181912
0.380000   0.482209   0.252749   0.265042   0.851604   0.024884   0.123512
0.385000   0.644870   0.174447   0.180684   0.903456   0.020505   0.076039
0.390000   0.779532   0.108820   0.111648   0.942256   0.017623   0.040121
0.395000   0.874593   0.062188   0.063220   0.967874   0.016173   0.015953
0.400000   0.923634   0.038075   0.038291   0.980585   0.016054   0.003361
0.405000   0.925298   0.037287   0.037415   0.980995   0.017141   0.001864
0.410000   0.882661   0.058255   0.059084   0.969971   0.019291   0.010738
0.415000   0.802270   0.097565   0.100165   0.948573   0.022351   0.029076
0.420000   0.693042   0.150557   0.156401   0.917997   0.026165   0.055837
0.425000   0.565153   0.211926   0.222921   0.879522   0.030577   0.089901
0.430000   0.429018   0.276270   0.294712   0.834462   0.035436   0.130101
0.435000   0.294453   0.338541   0.367006   0.784129   0.040601   0.175270
0.440000   0.170028   0.394381   0.435590   0.729803   0.045939   0.224259
0.445000   0.062645   0.440347   0.497008   0.672704   0.051330   0.275966
