# E(GeV)    P2          V2          E2          Pmumu          Pmue          Pmutau
0.100000   0.664261   0.163901   0.171838   0.909938   0.038434   0.051628
0.105000   -0.065894   0.483976   0.581918   0.589509   0.072429   0.338061
0.110000   0.010066   0.347069   0.642865   0.223476   0.111137   0.665387
0.115000   0.473615   0.042426   0.483960   0.021683   0.130142   0.848175
0.120000   0.422846   0.081812   0.495342   0.042732   0.124081   0.833187
0.125000   0.018187   0.357130   0.624683   0.232726   0.100284   0.666990
0.130000   -0.121944   0.499936   0.622008   0.494347   0.070061   0.435592
0.135000   0.189943   0.386258   0.423799   0.738476   0.042936   0.218588
0.140000   0.658944   0.167220   0.173835   0.907909   0.024449   0.067642
0.145000   0.921749   0.039008   0.039243   0.980100   0.016294   0.003606
0.150000   0.841944   0.078214   0.079842   0.959231   0.017463   0.023306
0.155000   0.522839   0.233010   0.244151   0.865370   0.025531   0.109099
0.160000   0.166615   0.398808   0.434577   0.724935   0.037667   0.237398
0.165000   -0.062522   0.491806   0.570715   0.564006   0.051277   0.384717
0.170000   -0.100179   0.481757   0.618422   0.404493   0.064321   0.531186
0.175000   0.025847   0.387238   0.586915   0.262553   0.075402   0.662046
0.180000   0.237143   0.252864   0.509993   0.148478   0.083723   0.767800
0.185000   0.448254   0.125757   0.425990   0.067424   0.088974   0.843602
0.190000   0.595635   0.040151   0.364214   0.020496   0.091203   0.888301
0.195000   0.648869   0.011690   0.339440   0.005880   0.090697   0.903424
0.200000   0.608426   0.038973   0.352601   0.019882   0.087876   0.892242
0.205000   0.496319   0.108863   0.394818   0.057769   0.083222   0.859009
0.210000   0.345025   0.202644   0.452331   0.114412   0.077220   0.808368
0.215000   0.187999   0.301232   0.510769   0.184748   0.070321   0.744931
0.220000   0.053245   0.388678   0.558077   0.264074   0.062927   0.672999
0.225000   -0.039967   0.453931   0.586036   0.348228   0.055377   0.596395
0.230000   -0.081816   0.491200   0.590616   0.433668   0.047945   0.518388
0.235000   -0.070934   0.499388   0.571546   0.517492   0.040844   0.441664
0.240000   -0.012484   0.481022   0.531462   0.597412   0.034234   0.368354
0.245000   0.084057   0.441035   0.474909   0.671705   0.028221   0.300073
0.250000   0.206980   0.385622   0.407398   0.739142   0.022876   0.237981
0.255000   0.344083   0.321291   0.334627   0.798922   0.018234   0.182844
0.260000   0.483948   0.254162   0.261890   0.850598   0.014301   0.135101
0.265000   0.616782   0.189508   0.193710   0.894013   0.011067   0.094921
0.270000   0.734859   0.131512   0.133629   0.929237   0.008503   0.062260
0.275000   0.832665   0.083183   0.084153   0.956518   0.006572   0.036910
0.280000   0.906811   0.046401   0.046789   0.976235   0.005226   0.018539
0.285000   0.955807   0.022037   0.022156   0.988857   0.004417   0.006725
0.290000   0.979757   0.010114   0.010130   0.994917   0.004092   0.000990
0.295000   0.980014   0.009986   0.010000   0.994982   0.004199   0.000819
0.300000   0.958855   0.020519   0.020626   0.989633   0.004685   0.005682
0.305000   0.919166   0.040251   0.040582   0.979452   0.005502   0.015046
0.310000   0.864180   0.067535   0.068285   0.965008   0.006602   0.028390
0.315000   0.797255   0.100654   0.102090   0.946848   0.007942   0.045211
0.320000   0.721703   0.137915   0.140381   0.925491   0.009481   0.065029
0.325000   0.640656   0.177717   0.181626   0.901424   0.011182   0.087394
0.330000   0.556979   0.218599   0.224422   0.875101   0.013012   0.111887
